Month,connected + friends + fellowship + companion: (United States),"""Feel connected with friends"": (United States)"
2009-01,58,0
2009-02,56,0
2009-03,56,0
2009-04,54,0
2009-05,56,0
2009-06,55,0
2009-07,52,0
2009-08,55,0
2009-09,51,0
2009-10,55,0
2009-11,57,0
2009-12,53,0
2010-01,56,0
2010-02,56,0
2010-03,54,0
2010-04,57,0
2010-05,55,0
2010-06,52,0
2010-07,49,0
2010-08,54,0
2010-09,52,0
2010-10,53,0
2010-11,54,0
2010-12,53,0
2011-01,62,0
2011-02,65,0
2011-03,67,0
2011-04,72,0
2011-05,71,0
2011-06,79,0
2011-07,83,0
2011-08,80,0
2011-09,83,0
2011-10,79,0
2011-11,80,0
2011-12,95,0
2012-01,100,0
2012-02,96,0
2012-03,87,0
2012-04,87,0
2012-05,75,0
2012-06,75,0
2012-07,75,0
2012-08,71,0
2012-09,71,0
2012-10,71,0
2012-11,71,0
2012-12,77,0
2013-01,77,0
2013-02,72,0
2013-03,70,0
2013-04,74,0
2013-05,70,0
2013-06,72,0
2013-07,72,0
2013-08,70,0
2013-09,66,0
2013-10,66,0
2013-11,68,0
2013-12,71,0
2014-01,68,0
2014-02,68,0
2014-03,67,0
2014-04,67,0
2014-05,67,0
2014-06,63,0
2014-07,67,0
2014-08,67,0
2014-09,67,0
2014-10,64,0
2014-11,70,0
2014-12,70,0
2015-01,79,0
2015-02,70,0
2015-03,68,0
2015-04,67,0
2015-05,66,0
2015-06,64,0
2015-07,66,0
2015-08,72,0
2015-09,72,0
2015-10,70,0
2015-11,69,0
2015-12,71,0
2016-01,76,0
2016-02,72,0
2016-03,65,0
2016-04,68,0
2016-05,67,0
2016-06,70,0
2016-07,69,0
2016-08,65,0
2016-09,68,0
2016-10,66,0
2016-11,63,0
2016-12,69,0
2017-01,66,0
2017-02,66,0
2017-03,67,0
2017-04,65,0
2017-05,70,0
2017-06,66,0
2017-07,68,0
2017-08,65,0
2017-09,63,0
2017-10,65,0
2017-11,68,0
2017-12,69,0
2018-01,71,0
2018-02,70,0
2018-03,68,0
2018-04,66,0
2018-05,64,0
2018-06,67,0
2018-07,64,0
2018-08,67,0
2018-09,68,0
2018-10,68,0
2018-11,69,0
2018-12,74,0
2019-01,73,0
2019-02,73,0
2019-03,68,0
2019-04,64,0
2019-05,65,0
2019-06,62,0
2019-07,65,0
2019-08,66,0
2019-09,81,0
2019-10,69,0
2019-11,66,0
2019-12,69,0
2020-01,67,0
2020-02,66,0
2020-03,67,0
2020-04,77,0
2020-05,72,0
2020-06,69,0
2020-07,67,0
2020-08,63,0
2020-09,61,0
2020-10,64,0
2020-11,62,0
2020-12,66,0
2021-01,61,0
2021-02,68,0
2021-03,61,0
2021-04,63,0
2021-05,75,0
2021-06,71,0
2021-07,63,0
2021-08,61,0
2021-09,58,0
2021-10,63,0
2021-11,67,0
2021-12,65,0
2022-01,71,0
2022-02,73,0
2022-03,67,0
2022-04,68,0
2022-05,67,0
2022-06,65,0
2022-07,64,0
2022-08,67,0
2022-09,63,0
2022-10,67,0
2022-11,68,0
2022-12,70,0
2023-01,69,0
2023-02,67,0
2023-03,67,0
2023-04,67,0
2023-05,67,0
2023-06,68,0
