Month,"""Social Media"" depression: (United States)"
2008-09,0
2008-10,0
2008-11,0
2008-12,15
2009-01,0
2009-02,10
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,6
2009-10,6
2009-11,0
2009-12,8
2010-01,0
2010-02,0
2010-03,7
2010-04,0
2010-05,10
2010-06,8
2010-07,7
2010-08,0
2010-09,0
2010-10,0
2010-11,7
2010-12,0
2011-01,0
2011-02,0
2011-03,0
2011-04,0
2011-05,0
2011-06,6
2011-07,6
2011-08,0
2011-09,0
2011-10,4
2011-11,0
2011-12,0
2012-01,0
2012-02,6
2012-03,6
2012-04,6
2012-05,0
2012-06,3
2012-07,9
2012-08,0
2012-09,4
2012-10,7
2012-11,10
2012-12,4
2013-01,5
2013-02,6
2013-03,11
2013-04,17
2013-05,0
2013-06,2
2013-07,9
2013-08,7
2013-09,6
2013-10,6
2013-11,14
2013-12,7
2014-01,8
2014-02,14
2014-03,10
2014-04,13
2014-05,6
2014-06,6
2014-07,9
2014-08,12
2014-09,15
2014-10,21
2014-11,17
2014-12,13
2015-01,14
2015-02,21
2015-03,16
2015-04,28
2015-05,27
2015-06,11
2015-07,14
2015-08,15
2015-09,22
2015-10,28
2015-11,42
2015-12,32
2016-01,19
2016-02,31
2016-03,26
2016-04,32
2016-05,38
2016-06,13
2016-07,18
2016-08,15
2016-09,26
2016-10,34
2016-11,37
2016-12,33
2017-01,26
2017-02,36
2017-03,43
2017-04,47
2017-05,36
2017-06,25
2017-07,24
2017-08,23
2017-09,46
2017-10,42
2017-11,57
2017-12,53
2018-01,41
2018-02,57
2018-03,62
2018-04,70
2018-05,54
2018-06,39
2018-07,34
2018-08,29
2018-09,57
2018-10,64
2018-11,81
2018-12,68
2019-01,56
2019-02,100
2019-03,94
2019-04,90
2019-05,80
2019-06,39
2019-07,43
2019-08,35
2019-09,67
2019-10,89
2019-11,92
2019-12,74
2020-01,50
2020-02,83
2020-03,59
2020-04,57
2020-05,40
2020-06,29
2020-07,21
2020-08,26
2020-09,58
2020-10,53
2020-11,45
2020-12,32
2021-01,27
2021-02,40
2021-03,34
2021-04,51
2021-05,30
2021-06,22
2021-07,10
2021-08,28
2021-09,37
2021-10,52
2021-11,62
2021-12,35
2022-01,37
2022-02,49
2022-03,64
2022-04,92
2022-05,67
2022-06,27
2022-07,24
2022-08,26
2022-09,47
2022-10,65
2022-11,69
2022-12,59
2023-01,56
2023-02,77
2023-03,82
2023-04,78
2023-05,63
2023-06,35
